id,language
630104,en
9487,hu
998,en
311164,en
32105,en
377993,en
71292,en
24876258,en
80631,en
81048,en
7640261,en
22028,en
176892,en
138811,en
15990489,en
15743075,pt
13549445,en
550844,en
165782,en
23346719,en
274400,en
1977834,fr
228345,en
7831145,en
58893,en
153783,en
870461,en
286136,en
6419887,en
228244,en
3004139,en
93729,en
71869,en
900682,en
7519640,en
124923,en
4842437,de
7163862,en
8662135,en
97860,en
79484,en
26936,en
91760,en
199635,en
39097,en
1783289,en
7704979,en
239065,en
475965,en
7129468,en
6556261,en
8685644,en
15549,en
10414941,en
10065348,en
11242368,en
19286623,en
100629,en
28978,en
7943678,en
167302,en
311308,en
16356,en
82553,en
13425352,en
922119,en
5350,en
294285,en
457762,en
13151,en
402,en
104216,en
244475,en
7893,en
878307,en
12447,en
85993,en
226425,en
47241,en
339026,en
37451,en
146106,en
140278,en
137098,en
2206960,en
112075,en
50725,en
6503152,en
264587,en
1933181,en
13806,en
12700306,en
6572,en
45234,en
6420,en
13012638,en
6519314,en
10222362,en
16707,en
125432,en
313605,en
25242224,en
8296,en
93794,en
545875,en
6064646,en
149621,en
102661,en
15815333,en
127028,en
13605496,en
17735,en
22693811,en
696703,en
79090,de
153193,en
826583,en
266599,en
10329483,en
511528,en
2917367,en
3064278,el
13438524,en
15710495,en
137972,en
15814479,en
111831,en
836610,en
1783281,en
597040,en
5137,en
901111,en
45169,en
41958,en
862108,en
1033346,en
16315,en
9526,en
13325079,en
5055,en
1946,en
6340016,en
32430,en
1988040,fr
107792,en
60483,en
126507,en
10816297,en
15817326,en
26031279,en
23492741,en
24963,en
1724365,en
10822,en
6359133,en
2841694,en
175828,en
44236,en
2073686,en
670686,bn
762053,en
10000,en
155206,en
613218,en
649361,en
74043,en
2305862,en
12764,en
16182,en
640029,en
8350864,en
21400356,en
11746102,en
15790833,en
2535732,en
961831,en
4806,en
7058405,en
34524,en
24156,en
458313,en
216196,en
6280379,en
7857713,en
10174795,en
1878,en
609870,en
143728,en
50695,en
17570751,en
73051,en
12882349,en
47061,en
16115,en
129223,en
233904,en
3157877,en
22193,en
32957,en
627055,en
41951,en
563457,en
628283,en
73954,en
2062048,en
238126,en
12389310,en
252999,en
51933,en
13365532,en
16114,en
146109,en
1034185,ru
20345202,en
110396,en
32940867,en
534289,en
16111,en
747746,en
19528,en
129117,en
2182,en
68333,en
54589,en
236814,en
842746,en
19476,en
7780,en
18249280,en
9888794,en
355656,en
22192,en
667416,en
233044,en
355789,en
42960,en
9027853,en
10551253,en
4789801,en
289813,en
104344,en
34272565,en
24384,en
38225791,en
4907301,en
456,en
24903919,en
366787,en
179612,en
774032,en
25669,en
71622,en
45241,en
7312324,en
389828,en
10897866,en
1049509,en
72676,en
19580,en
6251471,en
830784,en
4364,en
15046,en
2002,en
9394010,en
1931915,en
24804,en
10402992,en
2141,en
48760,en
74046,en
228534,en
1022209,en
140260,en
844935,en
6687247,en
10048874,en
27397,en
179174,en
53645,en
133380,en
19286603,en
110393,en
188454,en
427920,en
231560,en
105574,en
3416,en
32703,en
9554790,en
572692,ru
146943,en
6100797,en
61898,en
6777616,en
78972,en
762563,en
80672,en
47922,en
22189,en
138683,en
159760,en
104627,en
22875451,en
61115,en
2420340,en
3216451,en
6090807,en
11277218,en
13316328,en
146108,en
13642963,en
15799936,en
7101,en
561402,en
292275,es
228128,en
343738,en
92846,en
13516487,en
170548,en
35519101,en
7103,en
22191,en
14707,en
162314,en
43684,en
23912,en
9553,en
104790,en
438923,en
2606779,en
672965,en
590324,en
936611,en
256280,en
518982,en
26480,en
6514074,en
54028,en
36253,en
2330877,en
19596,en
6586456,en
35465,en
10571,en
96428,en
3321397,en
560929,en
354284,en
344199,en
59821,en
128109,en
761849,en
4333469,en
1199174,en
42929,en
564325,en
7284118,en
9260806,en
1928405,en
257962,en
854456,en
6569211,en
5936327,en
7380006,en
62812,en
263919,en
3127326,ar
7057397,en
6460814,en
62976,es
12072969,en
5805956,en
9766063,en
960495,en
6131767,en
8602864,en
13497142,en
9637428,tl
13504041,en
1413068,en
16520900,en
17210533,en
1442235,ru
13144813,en
17339738,en
17949078,en
17354744,en
17334077,en
18229453,en
18171014,en
17296121,en
166562,en
636223,en
17586834,en
15739817,en
21936661,en
21878763,en
18530194,es
1414,en
22008448,en
17466895,en
1322303,en
741481,en
22884757,en
1071726,en
22436841,en
25022297,en
3831344,ar
25855637,en
3986964,en
27268403,en
2484198,pl
17493,en
232467,en
29388297,en
29897456,en
34182067,en
18405537,en
31447045,en
1032,en
34866611,en
32560066,nl
41815475,en
40832734,en
8225859,nl
44076511,en
48678296,en
115929,en
2218102,en
10086681,en
27507117,en
331260,en
116567,en
44516,en
3359011,en
379160,en
6192376,en
3726872,en
6420578,en
2432061,en
284338,en
24816,en
620790,en
24611735,en
108314,en
7052308,en
7532858,de
765983,en
1906946,en
89838,en
779511,en
192954,en
128518,en
807002,en
6235136,en
10128608,en
690329,en
11203057,en
77844,en
936610,en
199531,en
10169662,en
393601,en
6972157,en
369439,en
9537041,en
16099180,en
209889,en
5927595,en
590323,en
127953,en
26474,en
14413557,en
12878300,en
101862,en
13421433,en
12555756,en
1481578,en
17611261,en
16164966,en
15757694,en
9768204,en
15821931,en
13152194,en
18713134,en
13162223,en
94351,en
2848807,en
9786641,en
12617286,en
56636,en
18684615,en
11324334,en
747061,en
6046158,en
22202,en
24677549,en
25012645,en
23016659,en
1335601,en
18456078,en
12970162,en
25311873,en
33260689,en
15818357,en
28510777,en
38467635,en
42113688,en
42870267,en
29567621,en
35425827,en
62794,en
27845690,en
6390031,en
43708884,en
13573419,en
307962,en
445126,en
189182,en
196766,en
1967633,en
143226,en
15781,en
14285,en
147908,en
1192521,en
3741180,pt
50781,en
7023148,en
165856,en
202650,en
3073174,en
149505,en
43713,en
596986,en
192955,en
1118874,en
5820384,en
11903141,en
8161632,en
362002,en
27297,en
484143,en
1205297,en
14404,en
18999,en
44780,en
12351695,fr
16192492,en
3426706,en
9475932,en
11714997,en
6344897,en
866136,en
15734418,en
8922087,en
13517470,en
16246625,en
424760,en
7812107,en
555987,en
2725,en
355034,en
12180248,en
44184,en
4303567,en
12262889,en
78159,en
15768119,sv
14058995,en
533327,en
11164732,en
593109,en
203409,en
7203997,en
6781184,en
10182392,en
984021,en
10552338,en
21915986,en
11156963,en
13606970,en
401454,en
257669,en
5505135,fr
17350491,en
17556418,en
119729,en
24849026,en
23209927,en
6839020,en
393626,fr
30841984,en
6732019,en
41176626,en
43616139,en
25434361,en
128529,en
181972,en
96505,en
7104,en
471174,en
108051,en
298537,en
593105,en
9263,en
815234,en
170529,en
533779,en
605663,en
3105537,en
1380834,nl
254660,en
615359,en
331695,en
6658659,en
5290503,en
10711,en
5184603,en
406422,en
62558,en
1739150,nl
80738,en
13414323,en
131304,en
838130,en
10710392,en
7779571,en
16093278,en
2642142,en
16003058,en
15743703,en
53948,en
3173125,en
54995,en
43885,en
130730,en
13554131,en
544354,en
536622,en
66677,en
12384984,en
9219901,en
15766776,en
20903622,en
17669067,en
18667307,fr
297898,en
21894650,en
18811324,en
42988,en
18244599,en
119832,en
112518,en
783291,en
25365530,en
13623874,en
25053346,id
28091259,en
23266378,en
32284715,en
13115538,en
18586621,en
15790894,en
33644223,en
24611819,en
34213608,en
29923707,en
31144992,en
18077875,en
35003240,en
35297469,en
32956365,en
29093292,en
26255907,en
3359010,en
50633870,en
43848929,en
45294613,en
446279,en
807044,en
80268,en
209690,en
22469,en
214888,en
5409442,en
6262518,en
683927,en
138558,en
347339,en
80492,en
7932,en
15100,en
588723,en
16743,en
459901,en
5269911,ar
317293,en
271487,en
276967,en
6377319,en
3107,en
6566722,en
7776678,en
205821,en
10639954,en
9722241,en
2416991,en
2942523,en
865516,en
6309229,en
12885,en
320200,en
781653,en
7543231,en
8550813,en
7740772,en
8485458,en
10552088,en
555500,en
975885,en
6851,en
7351574,en
7606431,en
11753084,en
96908,en
5444895,en
21278,en
12591698,en
3664164,en
158479,en
33016249,en
3629971,en
15980313,en
12444166,en
8339286,en
6465063,en
38463,en
17283481,en
186668,en
17458478,en
3675828,en
11378659,en
353761,en
71111,en
744224,en
1433867,en
293951,en
7074259,en
1167033,en
5723653,en
207918,en
1118616,no
384221,en
30658,en
776175,en
18295852,en
20483084,en
84463,en
7139340,tr
22892122,en
23019022,en
65388,en
782519,en
29776603,en
29004052,en
13505635,en
23398748,en
603387,en
27272505,en
1048897,en
440638,it
548370,en
7881207,en
6912491,fr
11547633,pt
775198,en
182136,en
3170458,en
37569318,en
34091026,en
724666,en
432020,en
6455256,en
40864841,en
44581535,en
254501,en
5996786,ar
11205802,en
11284,en
109326,en
872789,en
28660,en
77789,en
882053,en
15682,en
137446,en
224424,en
357173,en
11436,en
3250465,en
541920,en
763489,en
112080,en
160,en
89716,en
105999,en
34303,en
2350129,en
66692,en
328064,en
338131,en
6397351,en
2781819,en
33484,en
362888,en
6941324,en
7871086,en
7696504,en
3212912,en
11529182,en
692871,en
6273,en
169875,en
7789265,de
781132,en
46180,es
11402993,en
5659537,en
11792612,en
129909,en
895886,en
457841,en
6371720,en
16283548,en
9655178,en
384579,en
6419,en
3993839,en
8951449,en
6318413,en
11455154,en
2054504,en
953773,en
13097681,en
311196,en
527495,en
13153400,en
12384681,en
27550,en
25193,en
2961481,en
5045718,hr
18308787,id
5082616,en
18487180,en
3173438,en
18104749,en
12578294,en
18310201,en
30843,en
293602,en
18105451,en
7097866,en
101191,en
43691,en
3084415,en
9628203,en
6276276,en
44323,en
15843041,en
13432143,en
21853636,en
546255,en
10187223,en
129877,en
18774919,en
22046891,en
29060994,en
23299513,en
2161966,es
1364772,en
26085520,en
19161872,en
23533039,en
7114176,en
24382227,en
10589240,en
29496453,en
26245853,en
77040,en
11166,en
13630171,en
26312997,en
36389267,en
25334576,en
34684622,en
43191440,en
19523454,en
32618967,en
857333,en
41081373,en
43521657,en
40116691,en
22774,en
25810500,en
31952703,en
381072,en
262545,en
153418,en
303073,en
26482,en
57901,en
634407,en
102142,en
281152,en
762504,en
74462,en
1720099,en
2781816,en
76758,en
6313326,en
394228,en
6289558,de
123106,en
3788,en
50804,en
73932,en
324748,en
1099648,en
605015,en
144538,en
6578507,en
647579,en
300044,en
838668,en
108980,en
1207980,en
108979,en
7824997,en
104069,en
6853895,en
161788,en
31488,en
601219,en
9068791,en
6060130,en
622855,en
25624,es
871,en
7224154,en
47701,en
9471730,pt
13424848,en
1835150,en
70884,en
22908,en
12989115,en
5148758,en
48503,en
111388,en
888367,en
12722,en
2437710,en
6987527,en
935676,en
6687176,en
46969,en
11717826,en
6559316,en
8721183,en
8441754,en
13171072,en
17206996,en
10331050,en
676,en
18239142,en
18124599,en
17140887,en
6893384,en
13059477,en
17349023,en
17978443,en
25419982,en
12987986,en
8035987,en
563362,es
11323484,de
16401102,en
4736889,es
18218630,en
13455542,en
14291975,en
23650217,en
35187179,en
4600787,en
97030,en
123667,en
22698031,en
780344,en
11280184,de
23434061,en
2445973,en
26252659,en
3591032,en
276859,es
17783163,en
24849422,en
21981841,en
455525,en
31202835,en
719600,en
15704486,en
29740718,en
33375622,en
23848190,en
35068592,en
34324484,en
552106,en
60075,en
879299,en
36584899,en
48614841,en
10040,de
65399,en
295685,en
85326,en
220741,en
6561,en
68530,en
1976325,es
765172,en
6076107,en
817380,en
6665900,en
272614,en
169651,en
4418237,en
418209,en
2439931,en
384962,en
59817,en
56083,en
7778609,en
121792,en
194700,en
8100267,en
9722219,en
133775,en
35961,en
179734,en
491578,en
7789774,en
449,en
54076,es
300674,en
40490,en
14347714,en
2649029,fr
3241366,en
768884,en
283489,en
618520,en
291583,en
244357,en
45386,en
13591672,en
195155,en
7187640,en
146107,en
184356,en
10454418,en
16280717,en
17133068,en
11889938,en
10116769,id
4369839,es
833312,en
11702,en
17612776,en
1105956,en
440111,fa
15830010,en
862311,en
17033173,en
8869236,en
28012,en
15773979,en
36434,en
18145294,en
17334991,de
42435,en
18388177,en
133238,en
62535,en
18839746,en
12578370,en
41538,en
76688,en
182587,en
289029,tr
52184,en
18505844,en
18077752,en
18077769,en
20890479,en
20801166,en
8493681,en
17333289,en
18102827,en
183015,en
3453791,en
17679368,en
13343752,en
22819788,fr
1542100,en
11979900,en
23492533,en
25330544,en
647492,en
10433091,en
6490174,en
28186273,en
30256105,en
34218224,en
89231,en
6225786,tr
42141,en
23019294,en
36840397,en
30223025,en
34433755,en
2590136,en
1286453,en
38216157,en
88071,en
443765,en
12540,en
122771,en
669305,en
1847329,en
499150,en
9298,en
142108,en
339443,en
145391,en
248533,en
15450,en
2283433,en
458450,en
28920,en
6855506,de
33820,en
65053,en
3485562,en
6366110,en
454950,en
3280113,en
826564,en
7320458,en
7134202,en
890680,it
47905,en
461627,en
9872091,en
146128,en
61901,en
9790396,en
821964,en
300045,en
10419436,en
18068693,en
962955,en
39799,en
71864,en
1013883,en
143511,en
526869,en
469208,en
12407853,en
12143472,en
15916,en
906024,en
263466,en
79550,en
10673576,en
23230,en
380887,en
3282557,hi
4732517,en
196417,en
60756,es
102575,en
13664,en
15307498,en
290,en
12723460,en
11700333,en
7669259,en
7343071,en
741635,en
6310782,en
16035,en
18422,en
163265,en
2414750,en
577184,en
18144009,en
13062488,en
13258121,en
140099,en
10822395,en
17338675,fr
22571758,en
312881,en
748164,en
1075635,en
61354,en
337537,en
16217670,en
22717015,en
248322,en
18509683,en
1617191,en
3933510,en
18392459,en
124983,en
36373647,en
256234,en
23002501,en
13512946,en
139724,en
25901548,en
45183,en
944652,en
20736640,en
27912522,en
22010129,en
30095464,en
33573674,en
39893545,en
8521879,en
22571629,en
905092,en
26123021,en
16131032,en
7493186,en
25852870,en
3060904,id
122126,en
337132,en
28463,en
77431,en
523151,en
7531,en
6216433,en
142442,en
3297175,en
18392,en
85855,en
3474905,en
13996,en
307079,en
958277,en
10505,en
553243,en
613268,en
6764787,en
409015,en
54804,en
5586327,en
79088,en
86524,en
98218,en
1002539,en
944211,en
97408,en
2114086,en
207802,en
1027982,en
684509,en
122986,en
19311,en
263731,en
